filename,liked,length,color,design,shape
unique_nail_art_25_24.jpg,yes,medium,nude,french,oval
unique_nail_art_25_32.jpg,no,medium,glitter,french,stiletto
unique_nail_art_25_33.jpg,no,medium,dark,chrome,oval
unique_nail_art_25_34.jpg,no,long,bright,patterned,stiletto
colorful_manicure_25_0.jpg,no,short,bright,patterned,square
colorful_manicure_25_1.jpg,no,medium,bright,minimalistic,square
colorful_manicure_25_2.jpg,no,medium,bright,patterned,square
colorful_manicure_25_3.jpg,no,medium,bright,solid,stiletto
colorful_manicure_25_7.jpg,no,medium,bright,patterned,stiletto
colorful_manicure_25_17.jpg,yes,medium,pastel,french,almond
colorful_manicure_25_18.jpg,yes,medium,pastel,solid,oval
colorful_manicure_25_21.jpg,no,medium,bright,french,stiletto
colorful_manicure_25_22.jpg,no,short,pastel,patterned,oval
colorful_manicure_25_23.jpeg,no,medium,bright,solid,stiletto
colorful_manicure_25_24.jpg,no,medium,pastel,solid,oval
colorful_manicure_25_25.jpg,no,medium,pastel,minimalistic,square
minimalist_nails_40_28.jpg,no,medium,pastel,minimalistic,oval
minimalist_nails_40_7.jpg,no,medium,nude,chrome,almond
nail_art_ideas_10.jpg,no,medium,bright,chrome,stiletto
nail_art_ideas_11.jpg,no,medium,pastel,solid,stiletto
nail_art_ideas_13.jpg,no,medium,pastel,french,stiletto
nail_art_ideas_15.jpg,no,long,pastel,patterned,stiletto
nail_art_ideas_19.jpg,no,medium,nude,french,almond
nail_art_ideas_1.jpg,no,long,bright,solid,oval
nail_art_ideas_21.jpg,no,long,pastel,chrome,stiletto
nail_art_ideas_22.jpg,no,medium,bright,chrome,stiletto
nail_art_ideas_23.jpg,no,long,nude,chrome,almond
nail_art_ideas_27.jpg,no,medium,glitter,chrome,stiletto
nail_art_ideas_28.jpg,no,short,bright,patterned,oval
nail_art_ideas_29.jpg,no,long,bright,minimalistic,stiletto
nail_art_ideas_2.jpg,no,long,bright,chrome,stiletto
nail_art_ideas_30.jpg,no,long,pastel,chrome,stiletto
nail_art_ideas_31.jpg,no,medium,nude,french,almond
nail_art_ideas_5.jpg,no,medium,pastel,french,almond
nail_art_ideas_6.jpg,no,long,bright,chrome,stiletto
nail_art_ideas_7.png,no,medium,glitter,patterned,almond
nail_art_ideas_8.jpg,no,short,bright,patterned,stiletto
nail_art_ideas_9.jpg,no,medium,bright,patterned,stiletto
nude_nail_designs_40_10.jpg,no,long,nude,french,stiletto
nude_nail_designs_40_14.jpg,no,medium,nude,patterned,square
nude_nail_designs_40_21.jpg,no,medium,nude,french,almond
nude_nail_designs_40_22.jpg,no,medium,nude,matte,stiletto
nude_nail_designs_40_25.jpg,no,long,nude,french,almond
